연도,구별,구분,건수(건),금액(원)
2021,주체별,본인신청,4851,6753149911
2021,주체별,대리인신청(개인),94,178866125
2021,주체별,법인,336,784411441
2021,연령대별,19세이하,32,25160200
2021,연령대별,20대,822,867996310
2021,연령대별,30대,1176,1513935418
2021,연령대별,40대,1133,1650794075
2021,연령대별,50대,1059,1684441683
2021,연령대별,60대,576,972101445
2021,연령대별,70대이상,147,217586905
2021,금액대별,5만원이상~10만원미만,453,30197431
2021,금액대별,10만원이상~50만원미만,1904,450471985
2021,금액대별,50만원이상~1백만원미만,888,586914883
2021,금액대별,1백만원이상~2백만원미만,762,976284713
2021,금액대별,2백만원이상~3백만원미만,443,996935243
2021,금액대별,3백만원이상~5백만원미만,372,1332652591
2021,금액대별,5백만원이상~1천만원미만,330,2052970631
2021,금액대별,1천만원,129,1290000000
2021,착오송금 사유별,금융회사 또는 계좌번호 착오,3409,4938801971
2021,착오송금 사유별,수취인 혼동,1337,1929401534
2021,착오송금 사유별,기타,274,352288913
2021,착오송금 사유별,송금액 착오,162,244550878
2021,착오송금 사유별,중복 이체,99,251384181
2021,청구지역별,경기도,1456,2065734950
2021,청구지역별,서울특별시,1181,1650970072
2021,청구지역별,부산광역시,307,480332664
2021,청구지역별,경상남도,252,339608776
2021,청구지역별,인천광역시,320,425508478
2021,청구지역별,경상북도,187,291262889
2021,청구지역별,대구광역시,212,330154237
2021,청구지역별,충청남도,202,257185335
2021,청구지역별,전라남도,166,266555692
2021,청구지역별,전라북도,157,238129570
2021,청구지역별,충청북도,151,275136479
2021,청구지역별,강원도,152,252432604
2021,청구지역별,광주광역시,189,352387402
2021,청구지역별,대전광역시,149,225301061
2021,청구지역별,울산광역시,95,135213709
2021,청구지역별,제주특별자치시,69,82334200
2021,청구지역별,세종특별자치시,36,48179359
2021,송금방법별,간편송금,519,345628291
2021,송금방법별,모바일뱅킹,2826,3982630568
2021,송금방법별,인터넷뱅킹,1452,2640526047
2021,송금방법별,자동화기기(CD/ATM),313,460114066
2021,송금방법별,창구거래,30,77024739
2021,송금방법별,텔레뱅킹,141,210503766
2022,주체별,본인신청,10384,14017921978
2022,주체별,대리인신청(개인),212,291995631
2022,주체별,법인,882,1920478556
2022,연령대별,19세이하,61,30877151
2022,연령대별,20대,1854,2039645588
2022,연령대별,30대,2423,3097349123
2022,연령대별,40대,2224,3181058814
2022,연령대별,50대,2213,3165819779
2022,연령대별,60대,1402,2236493865
2022,연령대별,70대이상,405,546039289
2022,금액대별,5만원이상~10만원미만,989,66591669
2022,금액대별,10만원이상~50만원미만,4237,1027645663
2022,금액대별,50만원이상~1백만원미만,1901,1246555872
2022,금액대별,1백만원이상~2백만원미만,1798,2298330458
2022,금액대별,2백만원이상~3백만원미만,806,1828019392
2022,금액대별,3백만원이상~5백만원미만,779,2825974467
2022,금액대별,5백만원이상~1천만원미만,777,5027278644
2022,금액대별,1천만원,191,1910000000
2022,착오송금 사유별,금융회사 또는 계좌번호 착오,6799,9271978770
2022,착오송금 사유별,수취인 혼동,3396,4714993361
2022,착오송금 사유별,기타,653,1019471966
2022,착오송금 사유별,송금액 착오,438,765197168
2022,착오송금 사유별,중복 이체,192,458754900
2022,청구지역별,경기도,3054,4544743497
2022,청구지역별,서울특별시,2284,3016979042
2022,청구지역별,부산광역시,685,946506417
2022,청구지역별,경상남도,660,988796418
2022,청구지역별,인천광역시,732,995668638
2022,청구지역별,경상북도,450,666922383
2022,청구지역별,대구광역시,526,687674180
2022,청구지역별,충청남도,450,642818320
2022,청구지역별,전라남도,395,564652429
2022,청구지역별,전라북도,383,587184928
2022,청구지역별,충청북도,330,486989406
2022,청구지역별,강원도,311,423731329
2022,청구지역별,광주광역시,400,522403708
2022,청구지역별,대전광역시,315,476446358
2022,청구지역별,울산광역시,268,381008557
2022,청구지역별,제주특별자치시,172,198165002
2022,청구지역별,세종특별자치시,63,99705553
2022,송금방법별,간편송금,1376,857763870
2022,송금방법별,모바일뱅킹,6089,8477944123
2022,송금방법별,인터넷뱅킹,2921,5149608370
2022,송금방법별,자동화기기(CD/ATM),678,1089655760
2022,송금방법별,창구거래,86,174230530
2022,송금방법별,텔레뱅킹,328,481193512
